"fake_runid","block","Active_Noninjection_cycle52","Active_Noninjection_cycle104","Active_Noninjection_cycle156","Active_Injection_cycle52","Active_Injection_cycle104","Active_Injection_cycle156","Nonactive_Noninjection_cycle52","Nonactive_Noninjection_cycle104","Nonactive_Noninjection_cycle156","Nonactive_Injection_cycle52","Nonactive_Injection_cycle104","Nonactive_Injection_cycle156","Active_cycle52","Nonactive_cycle52","Active_cycle104","Nonactive_cycle104","Active_cycle156","Nonactive_cycle156"
1,"No_Treatment",108244.377755192,106365.200694233,138750.17445145,37929.2282775548,37218.3381684128,37952.7161245672,21255.1779537113,29092.6915316687,35432.9986286864,6552.20874296235,8772.10869963873,10431.361767356,146173.606032747,27807.3866966736,143583.538862646,37864.8002313074,176702.890576017,45864.3603960424
1,"Buprenorphine",4575.71757986951,4597.72334171734,5378.58373666372,1553.55828570285,1565.91170607083,1497.27437443283,12692.6489658544,12580.8264301338,14688.598453746,4330.2727861943,4365.11554355541,4392.29385105816,6129.27586557236,17022.9217520487,6163.63504778817,16945.9419736892,6875.85811109655,19080.8923048042
1,"Naltrexone",266.907270378947,290.970144762024,349.349656735533,87.0420180089072,87.9488008109882,72.9214623407292,982.517469917084,992.234768204145,1204.8532117249,326.476379050203,317.580687411535,302.058858163799,353.949288387854,1308.99384896729,378.918945573012,1309.81545561568,422.271119076262,1506.9120698887
1,"Methadone",2164.68157129475,1898.17553998076,2122.94066988426,733.969327644829,654.969205287561,637.316208970739,4463.39033741072,3916.71912062754,4314.80162216254,1509.45797948008,1334.88228251495,1226.04562976426,2898.65089893958,5972.8483168908,2553.14474526832,5251.60140314249,2760.256878855,5540.8472519268
1,"Detox",0,0,0,0,0,0,531.823611112137,623.261333814919,613.074422864559,182.681783714847,208.639636878169,144.129445657694,0,714.505394826984,0,831.900970693088,0,757.203868522253
1,"Post-Buprenorphine",2202.39243970876,2196.73583576539,2523.33965343918,601.989885999776,609.450866953499,603.464232355616,55.2021134908028,54.8497830743653,63.4905621052422,169.59279923478,171.419426300968,172.16314857955,2804.38232570854,224.794912725583,2806.18670271889,226.269209375333,3126.8038857948,235.653710684792
1,"Post-Naltrexone",218.819840449177,227.173741950913,268.091025703728,76.4357088170973,75.5697640871831,69.0966617257891,135.310496107931,136.449872327333,164.351744234066,41.029703366329,40.0505071534844,38.2526336495765,295.255549266274,176.34019947426,302.743506038096,176.500379480817,337.187687429517,202.604377883642
1,"Post-Methadone",671.460109420544,579.079535658255,629.339812188066,248.843364818735,217.585718419859,204.51653588217,186.155135645029,162.024793921017,176.829442294603,42.0016240902005,36.8078569649524,33.8155788380885,920.303474239279,228.156759735229,796.665254078114,198.832650885969,833.856348070236,210.645021132692
1,"Post-Detox",1633.74092368807,1906.24258712054,1831.5131960303,707.049760452686,807.110636055095,556.459393998264,491.508267871499,576.493055911965,562.845641000622,24.3183185002492,27.7849988451257,19.1782319886748,2340.79068414076,515.826586371748,2713.35322317564,604.278054757091,2387.97259002856,582.023872989297
1,"total",119978.097490002,118061.301421188,151853.332202095,41938.1166289997,41236.8848660978,41593.7649942733,40793.7343511209,48135.5506896838,57221.8437288189,13178.0401165933,15274.3896392633,16759.2991450558,161916.214119001,53971.7744677142,159298.186287286,63409.9403289471,193447.097196368,73981.1428738747
2,"No_Treatment",109606.369719094,110463.275504034,149918.650342508,36837.4758393749,35718.6877733015,36285.6787855917,15751.664470227,19088.0758076806,22756.0448767197,7156.86385000513,9572.68329317052,11008.9310181641,146443.845558469,22908.5283202321,146181.963277336,28660.7591008511,186204.3291281,33764.9758948838
2,"Buprenorphine",4594.03260346414,4696.71555365882,5680.99778078458,1522.15593594335,1508.25695295178,1423.8513646415,12810.194299029,12977.0099021667,15615.5223956584,4253.0441444344,4229.87157746432,4216.8569206472,6116.18853940749,17063.2384434634,6204.9725066106,17206.881479631,7104.84914542608,19832.3793163056
2,"Naltrexone",258.897011211544,283.885807012079,369.288222409816,83.5198007355335,81.5387906507414,67.333964880813,975.39192795328,1000.21347623709,1289.38216991551,316.442146987681,301.19905533977,287.60666756338,342.416811947077,1291.83407494096,365.42459766282,1301.41253157686,436.622187290629,1576.98883747889
2,"Methadone",2182.25412570104,1957.48051680399,2263.4998877908,722.445948127797,634.381333113039,613.432965035552,4479.92651457842,4001.33680707598,4568.65913322904,1484.02030534051,1287.0465919325,1172.47409343351,2904.70007382884,5963.94681991893,2591.86184991703,5288.38339900848,2876.93285282635,5741.13322666255
2,"Detox",0,0,0,0,0,0,586.127427350881,609.578956000319,658.767298786878,194.056449953781,188.898345668363,135.995203250405,0,780.183877304662,0,798.477301668682,0,794.762502037283
2,"Post-Buprenorphine",2262.43301109007,2301.38770088602,2724.81991462974,689.820567197812,687.713146198867,674.725714219271,10.3553119257715,10.5105067468334,12.496779334315,68.4054542089385,68.218991241826,68.2059944709538,2952.25357828788,78.76076613471,2989.10084708489,78.7294979886594,3399.54562884901,80.7027738052688
2,"Post-Naltrexone",200.216246611738,209.83170538864,263.794020206103,111.855743724775,107.368082398423,99.6718241244116,150.001319149512,153.637925933156,195.646271129849,1.86023217927291,1.77218912385961,1.69247110550211,312.071990336513,151.861551328785,317.199787787063,155.410115057016,363.465844330515,197.338742235351
2,"Post-Methadone",797.588356777795,701.661577130206,789.158481955672,204.354443125978,175.102147248786,163.868254013782,63.2819335919439,55.9932941716112,63.2456813037731,82.5616215271867,71.2199248316744,64.9455756210728,1001.94279990377,145.843555119131,876.763724378992,127.213219003286,953.026735969454,128.191256924846
